Date,Customer Name,Product ID,Amount
2024-04-21,Priya Patel,P1005,2235.42
2024-09-08,Vikram Singh,P1001,612.56
2024-06-22,Anita Joshi,P1003,1966.63
2024-11-08,Vikram Singh,P1002,4605.15
2025-01-12,Vikram Singh,P1005,3104.39
2024-06-05,Anita Joshi,P1004,3117.03
2024-06-22,Rajesh Kumar,P1001,3718.63
2024-10-06,Vikram Singh,P1003,1856.87
2024-10-21,Neha Verma,P1004,1163.24
2024-12-05,Suresh Reddy,P1005,2051.68
2024-05-22,Amit Sharma,P1003,3260.3
2024-04-29,Rajesh Kumar,P1002,4581.71
2024-05-08,Priya Patel,P1001,2046.12
2025-01-05,Priya Patel,P1004,931.15
2024-04-21,Anita Joshi,P1005,3679.27
2024-11-11,Suresh Reddy,P1001,180.88
2024-04-22,Suresh Reddy,P1003,229.52
2024-09-18,Rajesh Kumar,P1005,3605.28
2024-12-31,Suresh Reddy,P1005,2788.7
2024-09-23,Priya Patel,P1004,4558.58
2024-02-21,Neha Verma,P1005,1932.18
2024-07-10,Amit Sharma,P1003,1855.72
2024-10-10,Neha Verma,P1001,1161.49
2024-07-16,Rajesh Kumar,P1003,4638.23
2024-12-06,Vikram Singh,P1002,3841.76
2025-01-29,Amit Sharma,P1005,1043.6
2024-02-27,Rajesh Kumar,P1001,1796.4
2024-08-29,Anita Joshi,P1003,3200.39
2024-11-17,Amit Sharma,P1001,923.62
2025-02-01,Amit Sharma,P1001,296.38
2024-08-24,Anita Joshi,P1003,2033.3
2024-05-24,Amit Sharma,P1004,3839.08
2024-09-29,Neha Verma,P1005,1281.69
2024-09-26,Rajesh Kumar,P1004,391.67
2024-04-18,Priya Patel,P1005,3021.35
2024-03-28,Anita Joshi,P1002,2079.42
2025-01-09,Rajesh Kumar,P1004,845.42
2024-09-03,Rajesh Kumar,P1004,4975.29
2025-01-25,Rajesh Kumar,P1004,2749.11
2024-10-31,Rajesh Kumar,P1005,1208.62
2024-06-05,Rajesh Kumar,P1001,3174.73
2024-03-31,Priya Patel,P1003,3174.93
2024-08-02,Vikram Singh,P1005,714.18
2025-01-08,Amit Sharma,P1005,1574.54
2024-07-22,Anita Joshi,P1002,2771.25
2024-09-15,Suresh Reddy,P1004,3243.67
2024-04-29,Vikram Singh,P1001,1325.19
2024-06-19,Amit Sharma,P1002,2673.38
2024-09-17,Priya Patel,P1001,4361.55
2024-08-26,Rajesh Kumar,P1004,4382.73
2024-02-21,Suresh Reddy,P1002,3832.57
2024-08-21,Priya Patel,P1001,4733.5
2025-02-13,Neha Verma,P1005,1337.68
2024-04-26,Vikram Singh,P1004,1017.38
2024-08-19,Amit Sharma,P1001,3346.42
2024-06-20,Vikram Singh,P1001,1172.32
2024-03-17,Suresh Reddy,P1002,183.1
2024-11-12,Neha Verma,P1004,4470.18
2024-09-30,Rajesh Kumar,P1001,3811.19
2024-04-25,Rajesh Kumar,P1001,445.51
2024-08-09,Suresh Reddy,P1003,4878.13
2024-03-09,Neha Verma,P1002,779.14
2024-08-31,Vikram Singh,P1001,3887.04
2024-10-09,Anita Joshi,P1003,3465.22
2024-06-02,Vikram Singh,P1003,2647.24
2024-07-08,Priya Patel,P1002,3657.43
2024-05-11,Anita Joshi,P1002,4112.73
2024-06-29,Amit Sharma,P1003,986.56
2024-08-08,Neha Verma,P1001,4321.27
2024-05-02,Amit Sharma,P1005,2973.5
2024-10-28,Rajesh Kumar,P1003,1337.26
2024-04-21,Vikram Singh,P1003,3981.91
2024-09-06,Vikram Singh,P1001,1991.03
2024-05-17,Rajesh Kumar,P1001,1222.17
2024-05-04,Neha Verma,P1001,2935.95
2024-05-09,Rajesh Kumar,P1003,466.97
2024-03-31,Suresh Reddy,P1002,3105.88
2025-02-12,Vikram Singh,P1001,1691.16
2024-05-22,Amit Sharma,P1005,1322.32
2024-08-15,Anita Joshi,P1004,4210.29
2025-01-09,Suresh Reddy,P1004,160.92
2025-01-05,Neha Verma,P1001,3917.4
2024-05-20,Priya Patel,P1005,4273.84
2024-10-25,Suresh Reddy,P1002,4142.37
2024-06-25,Vikram Singh,P1005,4822.26
2024-07-19,Amit Sharma,P1001,2656.92
2024-07-06,Amit Sharma,P1005,4740.55
2024-10-29,Anita Joshi,P1004,4534.28
2024-04-19,Priya Patel,P1002,928.44
2024-03-29,Anita Joshi,P1002,287.26
2025-01-21,Anita Joshi,P1004,3898.47
2024-10-05,Priya Patel,P1004,2720.78
2024-06-26,Anita Joshi,P1002,1297.15
2024-05-26,Amit Sharma,P1003,1989.04
2025-02-10,Vikram Singh,P1002,2220.54
2024-12-03,Vikram Singh,P1001,4720.6
2025-01-30,Anita Joshi,P1001,3739.63
2024-07-31,Neha Verma,P1001,4991.33
2024-12-21,Rajesh Kumar,P1001,4901.82
2024-06-26,Rajesh Kumar,P1003,685.94
2024-08-26,Suresh Reddy,P1003,318.96
2024-10-11,Anita Joshi,P1001,2714.99
2024-03-12,Amit Sharma,P1005,4551.3
2024-03-13,Amit Sharma,P1001,2159.75
2024-02-29,Vikram Singh,P1003,157.29
2024-12-16,Suresh Reddy,P1002,4215.46
2025-01-04,Priya Patel,P1004,2286.93
2024-11-07,Suresh Reddy,P1004,4348.76
2024-10-23,Amit Sharma,P1005,794.62
2024-07-20,Vikram Singh,P1003,4038.36
2024-06-27,Anita Joshi,P1004,3494.51
2024-07-02,Vikram Singh,P1004,1188.51
2024-10-29,Suresh Reddy,P1001,967.0
2024-04-07,Suresh Reddy,P1001,1936.08
2024-05-04,Vikram Singh,P1003,2625.11
2024-02-20,Anita Joshi,P1003,2185.63
2024-03-04,Priya Patel,P1001,1077.87
2024-07-01,Priya Patel,P1005,2549.89
2024-07-25,Rajesh Kumar,P1005,373.62
2024-08-15,Rajesh Kumar,P1005,1538.44
2024-04-01,Priya Patel,P1002,3690.44
2024-09-22,Vikram Singh,P1004,182.51
2024-03-02,Vikram Singh,P1004,1030.44
2024-06-29,Neha Verma,P1001,2042.73
2025-01-31,Suresh Reddy,P1001,2045.17
2024-04-24,Priya Patel,P1005,4099.83
2024-08-24,Rajesh Kumar,P1003,4931.23
2024-07-18,Vikram Singh,P1003,4714.13
2024-06-25,Rajesh Kumar,P1003,1128.71
2025-01-07,Amit Sharma,P1002,689.35
2025-01-04,Anita Joshi,P1005,3750.81
2024-08-06,Suresh Reddy,P1004,119.18
2025-02-10,Suresh Reddy,P1003,3595.58
2024-10-16,Neha Verma,P1003,1554.36
2024-05-06,Neha Verma,P1002,3898.27
2024-03-10,Priya Patel,P1005,1445.25
2024-08-05,Vikram Singh,P1005,4026.46
2024-09-22,Rajesh Kumar,P1002,3611.95
2024-11-16,Neha Verma,P1003,557.51
2024-06-12,Priya Patel,P1004,728.75
2024-10-16,Neha Verma,P1004,1744.31
2025-01-23,Suresh Reddy,P1004,4358.73
2024-12-31,Rajesh Kumar,P1001,1793.78
2024-06-01,Vikram Singh,P1002,4914.05
2024-03-06,Amit Sharma,P1004,2770.35
2025-01-17,Anita Joshi,P1003,2086.56
2024-10-17,Rajesh Kumar,P1002,1321.92
2024-07-27,Anita Joshi,P1002,952.9
2024-05-19,Amit Sharma,P1002,3763.6
2024-10-24,Amit Sharma,P1002,4860.06
2024-10-15,Vikram Singh,P1002,414.06
2024-07-29,Suresh Reddy,P1002,3164.47
2024-09-23,Priya Patel,P1001,1960.11
2024-09-21,Vikram Singh,P1003,2020.1
2024-07-24,Suresh Reddy,P1001,4899.33
2024-07-30,Anita Joshi,P1004,1883.55
2024-03-15,Anita Joshi,P1005,3893.88
2024-11-11,Suresh Reddy,P1002,4683.3
2024-09-12,Vikram Singh,P1003,2837.23
2024-08-16,Priya Patel,P1005,660.18
2025-02-14,Priya Patel,P1001,3616.3
2024-12-07,Anita Joshi,P1005,1246.75
2024-12-08,Rajesh Kumar,P1004,2472.31
2025-01-04,Anita Joshi,P1005,280.79
2024-11-20,Amit Sharma,P1003,3825.84
2024-10-03,Priya Patel,P1004,4515.18
2024-06-03,Vikram Singh,P1001,579.07
2024-06-25,Anita Joshi,P1001,1225.21
2024-05-26,Suresh Reddy,P1001,2394.77
2024-11-29,Anita Joshi,P1004,1161.68
2024-10-12,Suresh Reddy,P1001,2184.06
2024-12-08,Amit Sharma,P1002,1788.12
2024-05-03,Amit Sharma,P1003,4261.72
2024-06-19,Anita Joshi,P1002,1714.02
2024-03-04,Neha Verma,P1003,1128.15
2024-08-26,Vikram Singh,P1004,214.85
2024-09-01,Anita Joshi,P1003,1920.24
2024-04-19,Amit Sharma,P1005,1447.07
2025-01-04,Neha Verma,P1001,1163.61
2024-04-09,Amit Sharma,P1004,1630.63
2024-05-15,Suresh Reddy,P1004,3694.91
2024-03-16,Suresh Reddy,P1003,4468.23
2024-05-07,Suresh Reddy,P1002,2539.67
2024-04-01,Anita Joshi,P1004,1436.41
2024-08-26,Priya Patel,P1003,4953.59
2024-11-19,Anita Joshi,P1004,447.53
2024-03-03,Rajesh Kumar,P1004,472.32
2024-11-07,Neha Verma,P1003,3809.22
2025-02-04,Suresh Reddy,P1003,314.15
2024-11-01,Suresh Reddy,P1005,1616.48
2024-09-03,Priya Patel,P1002,3601.83
2024-04-30,Neha Verma,P1003,1133.07
2024-09-05,Priya Patel,P1005,1038.47
2024-05-14,Rajesh Kumar,P1003,1234.35
2024-11-02,Neha Verma,P1004,3091.51
2024-12-01,Amit Sharma,P1003,4197.03
2024-09-09,Suresh Reddy,P1001,3427.02
2024-09-13,Anita Joshi,P1002,2819.44
2024-08-16,Vikram Singh,P1002,3937.77
2024-07-03,Amit Sharma,P1003,3822.98
2024-03-10,Priya Patel,P1002,966.41
2025-02-16,Amit Sharma,P1004,1425.43
2024-04-22,Anita Joshi,P1005,473.85
2024-09-24,Priya Patel,P1003,1232.32
2025-01-09,Anita Joshi,P1004,4805.0
2024-11-25,Rajesh Kumar,P1005,2680.67
2024-10-27,Vikram Singh,P1004,1213.32
2024-04-25,Priya Patel,P1001,777.65
2024-07-23,Vikram Singh,P1003,169.75
2024-09-20,Rajesh Kumar,P1005,3788.09
2024-07-05,Amit Sharma,P1002,4241.9
2024-08-18,Suresh Reddy,P1003,1962.46
2025-01-06,Vikram Singh,P1005,4878.84
2024-04-15,Vikram Singh,P1002,4615.62
2024-08-28,Anita Joshi,P1004,2978.43
2024-09-08,Amit Sharma,P1001,1433.76
2024-02-19,Priya Patel,P1004,3094.08
2024-05-27,Suresh Reddy,P1005,536.6
2024-06-11,Priya Patel,P1002,2935.8
2024-05-18,Suresh Reddy,P1001,492.41
2024-12-08,Rajesh Kumar,P1001,4268.85
2024-04-22,Suresh Reddy,P1005,4761.02
2024-05-19,Anita Joshi,P1004,3727.15
2024-08-02,Anita Joshi,P1004,2693.57
2025-01-25,Rajesh Kumar,P1003,396.88
2024-08-15,Vikram Singh,P1002,4836.12
2024-09-15,Neha Verma,P1004,1615.8
2024-11-26,Rajesh Kumar,P1002,1920.96
2025-01-12,Priya Patel,P1003,4724.91
2024-03-14,Amit Sharma,P1001,212.67
2024-12-28,Priya Patel,P1001,423.6
2024-04-25,Anita Joshi,P1005,4688.8
2024-12-02,Rajesh Kumar,P1004,627.93
2024-03-08,Suresh Reddy,P1003,3522.4
2024-12-11,Amit Sharma,P1004,166.84
2024-03-04,Priya Patel,P1004,4225.56
2025-01-06,Neha Verma,P1002,347.24
2024-06-05,Suresh Reddy,P1003,1773.16
2025-01-26,Rajesh Kumar,P1001,854.6
2024-06-07,Priya Patel,P1005,2941.38
2024-12-09,Suresh Reddy,P1002,3852.92
2024-10-15,Suresh Reddy,P1004,2207.62
2024-12-06,Priya Patel,P1002,2884.17
2024-10-31,Anita Joshi,P1001,3303.11
2024-05-15,Anita Joshi,P1001,2569.63
2024-05-26,Priya Patel,P1003,1417.39
2024-08-30,Vikram Singh,P1002,4126.98
2024-09-14,Amit Sharma,P1002,2226.78
2024-06-14,Neha Verma,P1002,4578.54
2024-06-13,Amit Sharma,P1005,865.08
2024-10-24,Anita Joshi,P1005,4479.09
2024-06-23,Amit Sharma,P1002,1708.17
2024-07-23,Suresh Reddy,P1002,4495.28
2025-01-08,Rajesh Kumar,P1005,4757.24
2024-06-24,Priya Patel,P1001,4202.25
2024-04-11,Priya Patel,P1005,2977.87
2024-09-09,Rajesh Kumar,P1001,4011.33
2024-10-03,Rajesh Kumar,P1001,3172.56
2024-09-13,Priya Patel,P1003,2306.01
2024-07-15,Amit Sharma,P1003,2529.52
2024-09-30,Amit Sharma,P1005,1696.79
2024-11-21,Rajesh Kumar,P1001,2730.88
2024-06-01,Priya Patel,P1001,4895.67
2025-01-22,Vikram Singh,P1004,4603.22
2024-03-15,Suresh Reddy,P1001,278.7
2024-09-13,Anita Joshi,P1005,3802.59
2024-03-19,Suresh Reddy,P1004,2668.11
2024-04-08,Neha Verma,P1002,1255.77
2024-05-18,Amit Sharma,P1001,3893.62
2024-05-19,Vikram Singh,P1001,682.57
2025-01-13,Anita Joshi,P1003,1843.1
2024-04-12,Priya Patel,P1005,2697.67
2024-07-08,Priya Patel,P1004,2751.24
2024-10-04,Amit Sharma,P1001,4186.46
2024-04-15,Amit Sharma,P1005,1943.65
2024-03-11,Rajesh Kumar,P1004,3424.14
2024-12-06,Amit Sharma,P1004,4692.27
2024-12-06,Amit Sharma,P1004,3889.79
2024-11-27,Anita Joshi,P1002,3955.89
2024-09-03,Suresh Reddy,P1002,3909.14
2024-12-08,Suresh Reddy,P1005,734.58
2025-01-10,Suresh Reddy,P1003,2627.99
2024-07-10,Rajesh Kumar,P1001,696.23
2025-01-10,Anita Joshi,P1002,3102.98
2024-07-08,Priya Patel,P1003,2665.09
2024-06-01,Suresh Reddy,P1005,1399.87
2024-06-16,Neha Verma,P1003,739.15
2024-05-09,Vikram Singh,P1005,2266.41
2024-08-02,Amit Sharma,P1001,385.88
2024-03-01,Rajesh Kumar,P1005,3418.1
2024-09-05,Amit Sharma,P1002,943.15
2024-09-08,Suresh Reddy,P1001,1051.94
2024-12-17,Suresh Reddy,P1002,236.15
2024-06-09,Neha Verma,P1005,3920.89
2024-03-15,Rajesh Kumar,P1001,4003.85
2024-04-10,Neha Verma,P1001,4895.04
2024-06-26,Amit Sharma,P1005,2642.82
2024-12-19,Neha Verma,P1001,1991.86
2025-01-25,Priya Patel,P1005,3497.01
2024-08-01,Vikram Singh,P1001,3450.52
2024-03-31,Neha Verma,P1002,1115.15
2024-11-20,Suresh Reddy,P1001,1451.02
2024-12-14,Amit Sharma,P1005,3664.49
2024-11-17,Suresh Reddy,P1002,4078.39
2024-08-07,Suresh Reddy,P1005,2987.27
2024-03-06,Anita Joshi,P1001,1799.54
2024-03-13,Rajesh Kumar,P1001,4856.2
2025-01-01,Suresh Reddy,P1004,3106.94
2024-06-30,Vikram Singh,P1005,253.31
2024-02-26,Suresh Reddy,P1004,1857.41
2024-12-05,Anita Joshi,P1005,4441.5
2024-08-02,Vikram Singh,P1003,1822.82
2024-02-26,Vikram Singh,P1004,4033.92
2024-12-21,Vikram Singh,P1001,4577.84
2024-05-30,Vikram Singh,P1004,2143.01
2024-05-14,Vikram Singh,P1004,1136.83
2025-02-16,Anita Joshi,P1005,2936.95
2024-12-25,Rajesh Kumar,P1004,1041.4
2024-10-12,Neha Verma,P1004,4594.29
2024-09-11,Vikram Singh,P1005,4380.85
2024-12-02,Vikram Singh,P1005,3926.64
2024-08-07,Neha Verma,P1001,4507.01
2024-09-18,Anita Joshi,P1002,2601.42
2024-06-02,Anita Joshi,P1002,3766.99
2024-12-31,Vikram Singh,P1005,265.28
2024-08-09,Rajesh Kumar,P1002,3319.7
2024-12-30,Amit Sharma,P1001,3447.14
2024-07-31,Rajesh Kumar,P1004,230.91
2024-09-22,Anita Joshi,P1005,2247.88
2024-02-29,Suresh Reddy,P1005,3094.95
2025-02-02,Anita Joshi,P1002,2093.56
2024-05-22,Priya Patel,P1004,3043.08
2024-05-02,Anita Joshi,P1005,2275.69
2025-01-28,Amit Sharma,P1004,3050.02
2024-05-25,Anita Joshi,P1004,2735.13
2024-03-04,Vikram Singh,P1005,3894.37
2024-03-14,Priya Patel,P1004,3117.63
2024-10-21,Priya Patel,P1001,2374.28
2025-02-14,Anita Joshi,P1001,3735.56
2025-02-14,Suresh Reddy,P1002,3896.98
2024-06-22,Vikram Singh,P1004,3492.86
2024-11-19,Neha Verma,P1002,1442.37
2024-08-14,Suresh Reddy,P1001,1936.17
2024-04-13,Rajesh Kumar,P1002,3899.83
2024-06-04,Suresh Reddy,P1003,1113.72
2024-10-06,Neha Verma,P1005,1276.3
2024-02-26,Priya Patel,P1001,4243.98
2024-11-07,Vikram Singh,P1001,4990.71
2024-09-06,Rajesh Kumar,P1003,2936.35
2024-09-07,Suresh Reddy,P1003,4092.65
2024-07-10,Vikram Singh,P1003,2859.27
2024-10-21,Neha Verma,P1004,268.26
2024-12-23,Amit Sharma,P1005,2265.49
2024-05-28,Priya Patel,P1004,2125.61
2024-03-15,Rajesh Kumar,P1004,3183.75
2024-08-30,Anita Joshi,P1001,4182.82
2024-12-14,Suresh Reddy,P1002,1708.78
2024-05-14,Priya Patel,P1002,3880.7
2024-12-27,Rajesh Kumar,P1005,3468.27
2024-03-01,Neha Verma,P1005,3999.91
2024-04-15,Suresh Reddy,P1002,3092.3
2024-12-29,Amit Sharma,P1001,1977.61
2025-02-03,Priya Patel,P1003,4810.19
2024-12-20,Anita Joshi,P1001,470.73
2024-04-17,Anita Joshi,P1005,1764.97
2025-02-04,Amit Sharma,P1003,2439.4
2024-09-08,Rajesh Kumar,P1004,3969.81
2024-06-01,Neha Verma,P1004,676.55
2024-05-09,Vikram Singh,P1004,3125.08
2024-12-28,Rajesh Kumar,P1002,1946.8
2024-11-13,Amit Sharma,P1005,1735.37
2025-01-11,Rajesh Kumar,P1005,1776.44
2025-01-03,Anita Joshi,P1003,3947.76
2024-03-27,Priya Patel,P1001,4749.55
2024-02-21,Priya Patel,P1002,4319.12
2025-01-13,Amit Sharma,P1004,2416.59
2024-08-24,Anita Joshi,P1002,3010.84
2024-10-01,Anita Joshi,P1005,402.81
2024-05-07,Anita Joshi,P1001,4678.02
2025-01-06,Vikram Singh,P1001,2754.33
2024-11-25,Anita Joshi,P1003,977.32
2024-07-30,Amit Sharma,P1002,488.94
2024-05-12,Vikram Singh,P1003,2078.5
2024-06-01,Amit Sharma,P1002,4133.34
2024-12-25,Amit Sharma,P1005,3204.9
2024-12-29,Suresh Reddy,P1002,2028.27
2024-05-28,Priya Patel,P1002,568.64
2024-12-12,Vikram Singh,P1003,4513.97
2024-03-17,Anita Joshi,P1004,825.92
2024-06-21,Rajesh Kumar,P1002,2162.37
2024-07-27,Rajesh Kumar,P1001,1485.66
2024-11-04,Neha Verma,P1002,3561.5
2024-05-21,Suresh Reddy,P1005,1692.63
2024-03-23,Suresh Reddy,P1002,1583.97
2024-03-21,Neha Verma,P1002,1813.58
2024-06-13,Neha Verma,P1002,2459.82
2024-04-16,Vikram Singh,P1003,752.35
2024-03-03,Neha Verma,P1002,2701.73
2024-08-27,Vikram Singh,P1003,2404.14
2024-12-27,Suresh Reddy,P1005,1791.96
2024-09-26,Vikram Singh,P1002,1427.63
2024-11-05,Amit Sharma,P1003,4367.23
2024-08-26,Priya Patel,P1004,3418.07
2024-08-05,Anita Joshi,P1001,3307.16
2024-08-14,Anita Joshi,P1005,4440.67
2024-11-16,Suresh Reddy,P1004,3234.98
2024-04-06,Amit Sharma,P1005,578.29
2025-01-27,Priya Patel,P1001,1032.48
2024-06-18,Rajesh Kumar,P1003,878.61
2025-01-19,Suresh Reddy,P1005,4562.07
2024-08-25,Priya Patel,P1002,2703.28
2024-10-18,Neha Verma,P1005,4769.29
2024-03-26,Vikram Singh,P1003,3201.64
2024-03-06,Neha Verma,P1002,4845.45
2024-07-17,Suresh Reddy,P1002,2885.18
2024-04-07,Anita Joshi,P1002,3910.75
2025-01-14,Suresh Reddy,P1002,3235.24
2024-04-13,Priya Patel,P1003,933.54
2024-05-05,Rajesh Kumar,P1003,2784.02
2024-10-01,Vikram Singh,P1004,335.18
2024-04-05,Rajesh Kumar,P1003,1982.2
2024-02-27,Vikram Singh,P1005,1064.95
2025-02-02,Vikram Singh,P1005,1502.88
2025-01-10,Suresh Reddy,P1005,2535.55
2025-01-17,Rajesh Kumar,P1001,3242.18
2024-12-15,Priya Patel,P1001,706.63
2024-07-02,Anita Joshi,P1003,848.22
2024-06-28,Amit Sharma,P1003,4316.45
2024-07-21,Anita Joshi,P1002,3574.33
2024-04-21,Suresh Reddy,P1003,2661.81
2024-09-21,Neha Verma,P1003,3877.65
2024-10-08,Vikram Singh,P1004,1951.65
2024-12-21,Suresh Reddy,P1004,4727.43
2024-10-06,Rajesh Kumar,P1005,4863.35
2024-03-14,Neha Verma,P1003,256.77
2024-02-20,Neha Verma,P1005,645.67
2024-05-28,Neha Verma,P1001,4602.66
2024-04-19,Rajesh Kumar,P1003,896.24
2024-12-27,Rajesh Kumar,P1001,2866.43
2024-12-07,Amit Sharma,P1002,386.61
2024-08-26,Suresh Reddy,P1005,725.05
2024-03-24,Amit Sharma,P1005,2676.49
2024-07-30,Priya Patel,P1005,3834.49
2024-08-07,Neha Verma,P1005,1585.94
2024-12-19,Suresh Reddy,P1002,3042.55
2024-06-24,Anita Joshi,P1005,1408.53
2024-09-08,Anita Joshi,P1005,3194.28
2025-02-06,Suresh Reddy,P1005,3323.3
2024-11-20,Suresh Reddy,P1001,4315.39
2024-07-29,Neha Verma,P1005,1250.77
2024-07-02,Anita Joshi,P1001,2216.77
2024-06-25,Neha Verma,P1004,1633.74
2024-06-27,Priya Patel,P1002,4154.63
2025-02-17,Amit Sharma,P1001,2940.19
2024-10-19,Amit Sharma,P1001,4259.99
2024-04-11,Vikram Singh,P1002,4277.97
2024-04-15,Neha Verma,P1004,4845.49
2024-04-22,Vikram Singh,P1001,2058.18
2025-01-16,Suresh Reddy,P1005,2917.48
2024-08-13,Suresh Reddy,P1004,1464.28
2024-07-09,Priya Patel,P1005,948.94
2025-01-30,Suresh Reddy,P1001,4391.68
2024-11-19,Anita Joshi,P1005,1382.13
2024-05-26,Suresh Reddy,P1001,3098.75
2024-02-26,Amit Sharma,P1005,1861.27
2024-04-18,Priya Patel,P1004,1920.83
2024-10-01,Rajesh Kumar,P1002,1964.59
2024-04-14,Rajesh Kumar,P1001,1560.21
2025-01-03,Suresh Reddy,P1005,1662.88
2024-07-10,Amit Sharma,P1004,4335.55
2025-01-11,Anita Joshi,P1004,4382.87
2024-08-15,Neha Verma,P1002,3738.57
2025-01-27,Priya Patel,P1001,2538.55
2024-11-08,Priya Patel,P1002,3230.23
2024-11-01,Vikram Singh,P1005,3465.9
2024-09-19,Vikram Singh,P1004,803.03
2024-05-22,Neha Verma,P1001,4313.95
2024-04-21,Vikram Singh,P1002,2397.08
2024-06-13,Vikram Singh,P1003,780.61
2024-03-04,Vikram Singh,P1005,4670.88
2025-02-17,Rajesh Kumar,P1001,1105.61
2024-08-02,Vikram Singh,P1001,4456.27
2024-12-13,Vikram Singh,P1003,1132.56
2024-12-13,Priya Patel,P1005,4882.18
2024-09-01,Neha Verma,P1002,3947.93
2025-01-05,Neha Verma,P1002,379.48
2024-10-19,Neha Verma,P1002,4662.09
2024-06-27,Rajesh Kumar,P1005,3225.88
2024-09-11,Suresh Reddy,P1002,2675.3
2024-12-10,Suresh Reddy,P1004,2990.71
2024-11-04,Neha Verma,P1003,4761.78
2024-10-15,Priya Patel,P1003,3671.49
2024-12-22,Amit Sharma,P1004,400.47
2024-03-31,Vikram Singh,P1004,763.33
2024-12-26,Neha Verma,P1005,255.98
2024-12-16,Vikram Singh,P1001,3940.24
2024-10-12,Vikram Singh,P1003,3013.81
2025-01-03,Rajesh Kumar,P1005,232.99
2025-02-04,Amit Sharma,P1001,897.01
2025-01-10,Priya Patel,P1003,1452.72
2024-04-30,Anita Joshi,P1001,920.99
2024-12-10,Anita Joshi,P1002,3704.06
2024-03-03,Neha Verma,P1002,4575.43
2024-11-01,Anita Joshi,P1001,2333.18
2025-01-08,Neha Verma,P1002,1054.64
2024-06-03,Priya Patel,P1002,2033.38
2024-12-01,Neha Verma,P1002,1299.13
2024-10-10,Suresh Reddy,P1005,461.35
2024-05-22,Anita Joshi,P1003,4566.85
2024-06-19,Priya Patel,P1001,1337.37
2024-05-31,Neha Verma,P1003,1965.35
2024-07-22,Vikram Singh,P1005,3857.71
2024-08-30,Rajesh Kumar,P1003,4305.67
2024-07-19,Suresh Reddy,P1005,3299.51
2024-08-25,Anita Joshi,P1003,1289.97
2024-03-27,Neha Verma,P1005,1147.25
2024-12-07,Anita Joshi,P1004,1720.06
2024-04-06,Vikram Singh,P1004,4640.51
2024-03-16,Vikram Singh,P1005,2106.73
2024-05-14,Amit Sharma,P1002,2559.79
2025-02-08,Rajesh Kumar,P1003,3842.3
2025-01-02,Priya Patel,P1002,4940.89
2024-03-23,Suresh Reddy,P1004,3699.78
2024-11-07,Neha Verma,P1003,1972.75
2024-03-15,Priya Patel,P1005,2043.44
2024-06-23,Priya Patel,P1004,962.31
2024-08-09,Priya Patel,P1001,4732.24
2024-03-24,Rajesh Kumar,P1002,4416.42
2024-10-13,Anita Joshi,P1003,3440.82
2024-07-31,Priya Patel,P1005,2036.11
2024-12-26,Vikram Singh,P1003,691.67
2025-01-28,Amit Sharma,P1003,2725.45
2024-08-18,Amit Sharma,P1005,1319.68
2024-03-10,Rajesh Kumar,P1003,2504.38
2025-01-24,Neha Verma,P1004,1431.68
2025-01-19,Anita Joshi,P1004,767.07
2024-11-26,Anita Joshi,P1003,2480.34
2024-04-24,Rajesh Kumar,P1002,1544.12
2025-01-18,Neha Verma,P1004,2121.64
2024-06-22,Amit Sharma,P1001,3179.48
2024-02-26,Rajesh Kumar,P1003,969.39
